abv,image,name,official_content,origin,url,winery,year
45.0%,https://ip.distiller.com/images/spirits/71bf9bd0-49d8-0133-90f4-7a9c0bb3840c/john_myer_wheat_whiskey_tile.jpg?1447196180,John Myer Wheat Whiskey,John Myer Wheat Whiskey is made from 100% organic hard red spring wheat that was sourced from the Myer Family Farm. The farm is owned and operated by two brothers with a long family history of farming and distilling. It is also one of the largest and oldest organic farms operating in the Northeast.," New York, USA
",https://distiller.com/spirits/john-myer-wheat-whiskey,"
Myer Farm Distillers ",NAS
45.0%,https://ip.distiller.com/images/spirits/1d882430-49d8-0133-3a3a-5205648f10b8/john_myer_bourbon_whiskey_tile.jpg?1455137904,John Myer Bourbon Whiskey,"The corn (at almost 60%), unmalted barley, rye, and spring wheat that make up the mash bill of this bourbon are all organically grown on the Myer Family Farm in Ovid, New York. The whiskey is aged for about 12 to 15 months before being bottled at 90 proof."," New York, USA
",https://distiller.com/spirits/john-myer-bourbon-whiskey,"
Myer Farm Distillers ",NAS
40.0%,https://ip.distiller.com/images/spirits/e7889090-3fd0-0133-19b9-7a84bab34b10/benromach_5_year_tile.jpg?1442539241,Benromach 5 Year,"Like its older brother, the 10 Year, this 5 Year single malt from Benromach is comprised of 80% whisky matured in bourbon barrels and 20% whisky matured in sherry casks."," Speyside, Scotland
",https://distiller.com/spirits/benromach-5-year,"
Benromach ",5 Year
62.5%,https://ip.distiller.com/images/spirits/1f13e360-49d5-0133-3a39-5205648f10b8/rock_town_arkansas_lightning_tile.jpg?1451940631,Rock Town Arkansas Lightning,Rock Town Arkansas Lightning is a moonshine distilled from corn and wheat following the tradition of the founder's grandfather. Rock Town Distillery is the first legal distillery in Arkansas since the prohibition and uses grains sourced within 125 miles of the distillery.," Arkansas, USA
",https://distiller.com/spirits/rock-town-arkansas-lightning,"
Rock Town ",NAS
57.0%,https://ip.distiller.com/images/spirits/60518c80-3fd0-0133-19b8-7a84bab34b10/benromach_10_year_100_proof_tile.jpg?1442539298,Benromach 100° Proof,"This Speyside single malt is bottled without chill-filtering in the old imperial measure of 100° proof. ""Proof"" means 50% abv in the US and in the UK, it means 57% abv. This all goes back to the day and age where ""proof"" was questioned by sailors and their precious rum. Mixing some gunpowder with the rum and attempting to ignite the product would ""prove"" whether their rum was watered down or not. An ignition would verify its strength. Benromach 100° Proof is available in the UK and other markets outside the US, where it is sold as Benromach Imperial Proof."," Speyside, Scotland
",https://distiller.com/spirits/benromach-10-year-100-proof,"
Benromach ",10 Year
40.0%,https://ip.distiller.com/images/spirits/ce585cd0-3245-0133-1e04-0a6299895e42/bird_dog_bourbon_tile.jpg?1442526937,Bird Dog Bourbon,"Bird Dog Bourbon is distilled from corn, malted barley and rye. The bourbon is aged in charred white oak barrels and bottled at 40% abv."," Kentucky, USA
",https://distiller.com/spirits/bird-dog-bourbon,"
Bird Dog ",NAS
45.0%,https://ip.distiller.com/images/spirits/3cb6b2e0-3244-0133-1e03-0a6299895e42/buck_8_year_tile.jpg?1442448941,Buck 8 Year,"Buck 8 Year is sourced Kentucky straight bourbon bottled and distributed by independent bottler, Frank-Lin Distillers. This old fashioned sour mash whiskey was aged for 8 years in new American oak and bottled at 45% abv. The Kentucky distillery producing this whiskey remains unknown."," Kentucky (bottled in California), USA
",https://distiller.com/spirits/buck-8-year,"
Frank-Lin Distillers ",8 Year
40.0%,https://ip.distiller.com/images/spirits/1534ecd0-3fc6-0133-f170-1e3aa1527993/jura_elixir_tile.jpg?1445894665,Jura Elixir,"The waters surrounding the Isle of Jura are legendary among Diuriachs for its mystical, youth restoring properties. Age-defying spirit likely doesn't run through the stills of Jura Distillery, but this expression could still be an Elixir of life. Matured in both American white oak and sherry casks, this single malt Scotch whisky has been bottled at 40% abv."," Islands, Scotland
",https://distiller.com/spirits/jura-elixir,"
Jura ",12 Year
48.0%,https://ip.distiller.com/images/spirits/e067bfd0-33d5-0133-f00a-1295fa9de319/benriach_birnie_moss_intensely_peated_tile.jpg?1441222058,BenRiach Birnie Moss Intensely Peated,"Distilled from peated malt at an impressive 35ppm, this single malt scotch from the BenRiach is named after an area of windy moorland near the distillery."," Speyside, Scotland
",https://distiller.com/spirits/benriach-birnie-moss-intensely-peated,"
BenRiach ",NAS
47.0%,https://ip.distiller.com/images/spirits/682119d0-3561-0133-033e-4e6d863769e2/dads_hat_rye_port_wine_barrels_tile.jpg?1441393644,Dad's Hat Pennsylvania Rye Whiskey Finished in Port Wine Barrels,"The mash bill for this whiskey is comprised of 80% rye, 15% malted barley and 5% malted rye, using locally-sourced grains. After aging for about a year in charred American oak, the rye gets transferred to and finished in casks that previously matured port wine. Port wine is a Portuguese fortified wine typically made from red grapes. This limited release whiskey is bottled at 47% abv."," Pennsylvania, USA
",https://distiller.com/spirits/dads-hat-pennsylvania-rye-whiskey-finished-in-port-wine-barrels,"
Dad's Hat ",NAS
47.0%,https://ip.distiller.com/images/spirits/a3ed4c30-323c-0133-1e01-0a6299895e42/crimson_rye_whiskey_tile.jpg?1442440258,66 Gilead Crimson Rye Whisky,Crimson Rye Whisky is named after the color the whisky develops after being primarily aged in ex-Pinot Noir casks. This rye is distilled from a mash bill of 100% rye grain. The whisky is handcrafted in small batches and non-chill filtered.," Ontario, Canada
",https://distiller.com/spirits/crimson-rye-whisky,"
66 Gilead ",NAS
55.0%,https://ip.distiller.com/images/spirits/d452bbf0-323b-0133-1e00-0a6299895e42/stauning_traditional_tile.jpg?1448519894,Stauning Traditional Danish Single Malt Whisky,"Stauning Traditional is distilled from locally-grown barley malted at the Stauning distillery in Denmark. The whisky is distilled twice in pot stills and matured for 3 years in first-fill bourbon barrels sourced from Maker's Mark in Kentucky, USA."," Denmark
",https://distiller.com/spirits/stauning-traditional-danish-single-malt-whisky,"
Stauning ",NAS
44.4%,https://ip.distiller.com/images/spirits/be6825a0-2fe9-0133-5370-064314eddd75/nor_easter_bourbon_tile.jpg?1442014595,Nor'Easter Bourbon,"Nor'Easter Bourbon is part of Triple Eight Distillery's Storm Series. A ""Nor'Easter"" is a common storm on the East coast; like a hurricane except it forms over land instead of water. The whiskey is distilled from a mash bill of corn, malted barley, and malted rye. It ages for about 4 to 8 years in new white oak barrels and is bottled at 44.4% abv."," Massachusetts, USA
",https://distiller.com/spirits/nor-easter-bourbon,"
Triple Eight Distillery ",NAS
50.0%,https://ip.distiller.com/images/spirits/31288a80-2fe4-0133-536f-064314eddd75/reservoir_rye_whiskey_tile.jpg?1442011969,Reservoir Rye Whiskey,"Reservoir Rye Whiskey is distilled in Richmond, Virginia and made from a mash bill of 100% locally sourced rye. The whiskey is aged in small oak barrels to speed up the aging process and bottled at exactly 100 proof."," Virginia, USA
",https://distiller.com/spirits/reservoir-rye-whiskey,"
Reservoir Distillery ",NAS
50.0%,https://ip.distiller.com/images/spirits/ba35d1a0-2fe2-0133-536e-064314eddd75/reservoir_bourbon_whiskey_tile.jpg?1442010944,Reservoir Bourbon Whiskey,"Reservoir Bourbon is distilled in Richmond, Virginia and made with mash bill of 100% locally sourced corn. The whiskey is aged in small barrels to speed up the aging process and bottled at exactly 100 proof."," Virginia, USA
",https://distiller.com/spirits/reservoir-bourbon-whiskey,"
Reservoir ",NAS
50.0%,https://ip.distiller.com/images/spirits/b3bea720-2fe3-0133-114b-3a8722b495d8/reservoir_wheat_whiskey_tile.jpg?1442012326,Reservoir Wheat Whiskey,"Reservoir Wheat Whiskey is distilled in Richmond, Virginia and made from a mash bill of 100% locally sourced wheat. The whiskey is aged in small oak barrels to speed up the aging process and bottled at exactly 100 proof."," Virginia, USA
",https://distiller.com/spirits/reservoir-wheat-whiskey,"
Reservoir ",NAS
40.0%,https://ip.distiller.com/images/spirits/b063d2e0-3241-0133-2d2e-22e57ee880ad/kopper_kettle_whisky_tile.jpg?1442445620,Belmont Farm Kopper Kettle Virginia Whiskey,"Kopper Kettle is made by Belmont Farm Distillery in Virginia. The three grains used in the whiskey is grown on the farm, though the exact mixture of corn, wheat, and barley used in the whiskey is kept secret. The whiskey is twice distilled using an antique copper pot still. Virginia oak and apple wood chips are left to soak in the whiskey for two months before it is aged in oak barrels for 4 years."," Virgina, USA
",https://distiller.com/spirits/kopper-kettle-whiskey,"
Belmont Farm  ",NAS
40.0%,https://ip.distiller.com/images/spirits/3321df80-323b-0133-1dfe-0a6299895e42/blantons_special_reserve_tile.jpg?1442044318,Blanton's Special Reserve,"Blanton's Special Reserve is a small-batch single barrel bourbon produced at the legendary Buffalo Trace Distillery in Kentucky, USA. The mash bill for this chill-filtered whiskey is comprised of corn, rye, and malted barley."," Kentucky, USA
",https://distiller.com/spirits/blanton-s-special-reserve,"
Blanton's ",NAS
40.0%,https://ip.distiller.com/images/spirits/d671cc10-2fdd-0133-536d-064314eddd75/lismore_the_legend_21_year_tile.jpg?1441843167,Lismore The Legend 21 Year,"Lismore is a brand name, not a distillery, so the origins of the whisky are unknown; however, internet chatter points to the Speyside distiller, Glenfarclas. Lismore The Legend is single malt Scotch is aged for at least 21 years in sherry hogshead casks and bottled at 40% abv."," Speyside, Scotland
",https://distiller.com/spirits/lismore-the-legend-21-year,"
Lismore ",21 Year
40.0%,https://ip.distiller.com/images/spirits/fd7393a0-2fda-0133-114a-3a8722b495d8/kessler_american_blended_whiskey_tile.jpg?1441740467,Kessler American Blended Whiskey,"Kessler American Blended Whiskey was founded by Julius Kessler, who was a successful saloon-to-saloon whiskey salesman in Leadville, Colorado during the late 1800's. The brand is now owned by Beam Suntory, the makers of Jim Beam."," USA
",https://distiller.com/spirits/kessler-american-blended-whiskey,"
Kessler Whiskey ",NAS
40.0%,https://ip.distiller.com/images/spirits/90f42ce0-2f27-0133-a7bc-76722b13f6a1/big_horn_bourbon_tile.jpg?1441758425,Bighorn Bourbon,"Bighorn Bourbon Whiskey from Willie's Distillery in Ennis, Montana is a blend of bourbons of varying ages. It is named for the Rocky Mountain Bighorn Ram which like the whiskey, is comfortable on the rocks."," Montana, USA
",https://distiller.com/spirits/bighorn-bourbon,"
Willie's Distillery ",NAS
43.0%,https://ip.distiller.com/images/spirits/cb83f920-2abd-0133-486b-4ae73921b672/royal_lochnagar_selected_reserve_highland_single_malt_scotch_whisky_tile.jpg?1440437970,Royal Lochnagar Selected Reserve,"The distillery was originally just Lochnagar, named after a nearby mountain. It became Royal Lochnager after Queen Victoria visited the distillery in 1848 and was so impressed that she issued them a royal warrant. This Highland single malt is bottled at 43% abv."," Highlands, Scotland
",https://distiller.com/spirits/royal-lochnagar-selected-reserve,"
Royal Lochnagar ",NAS
50.0%,https://ip.distiller.com/images/spirits/a94d2170-2abb-0133-bb3a-16b11fa9592c/hookers_house_bourbon_tile.jpg?1441757795,Hooker's House Bourbon,"Hooker's House Bourbon is named after the infamous General Joseph ""Fighting Joe"" Hooker who was known to overindulge in both women and whiskey. The bourbon starts out in Kentucky where it is aged for 7 years in charred American oak barrels. It's then sent to California to finish for an additional 9 months in sourced French pinot noir barrels from Schug Winery in Sonoma Valley. This double barreling process, though common for a Scotch, is unique for a bourbon and some consider it misleading. However, its aging in new oak and mash bill of 54% corn meet the requirements for bourbon so it is not mislabeled."," USA
",https://distiller.com/spirits/hooker-s-house-bourbon,"
Prohibition Spirits ",NAS
43.0%,https://ip.distiller.com/images/spirits/f4dbf5f0-2ab8-0133-bb39-16b11fa9592c/benromach_30_year_tile.jpg?1440438085,Benromach 30 Year,"Benromach, from the Gaelic for ""shaggy mountain,"" has persevered through ownership changes and closures since founded in 1889. The distillery was last mothballed in 1983 as a result of the economic crash during that time. Gordon & MacPhail purchased the small distillery in 1994 and production began again in 1998. Their 30 year Speyside single malt whisky enjoys a long maturation in hand selected first-fill and refill sherry oak casks."," Speyside, Scotland
",https://distiller.com/spirits/benromach-30-year,"
Benromach ",30 Year
45.0%,https://ip.distiller.com/images/spirits/dbcb0010-2abe-0133-486d-4ae73921b672/knob_creek_smoked_maple_tile.jpg?1440437332,Knob Creek Smoked Maple,"Master Distiller Fred Noe credits his father as inspiration for Knob Creek's first expression of flavored whiskey. Booker Noe, his father, was the previous Master Distiller for 40 years and known as ""The Innovator."" Along with innovating bourbon, he also enjoyed smoking his own meats and making his own maple syrup. This Kentucky straight bourbon is blended with natural flavors and bottled at 90 proof."," Kentucky, USA
",https://distiller.com/spirits/knob-creek-smoked-maple,"
Knob Creek ",NAS
40.0%,https://ip.distiller.com/images/spirits/0c4eb250-2abc-0133-bb3b-16b11fa9592c/wolfhound_irish_whiskey_tile.jpg?1441758267,Wolfhound Irish Whiskey,"There is very little information available about ""the gentle giant"" that is Wolfhound Irish Whiskey. The label states that it is ""crafted from fine Irish malt and grain"" and bottled at 80 proof."," Ireland
",https://distiller.com/spirits/wolfhound-irish-whiskey,"
Wolfhound ",NAS
